2025-01-08 13:35:03,396 - Starting new run
2025-01-08 13:35:03,397 - Active threads: 6, Memory usage: 0.18 GB, CPU: 12
2025-01-08 13:35:30,231 - Starting new run
2025-01-08 13:35:30,232 - Active threads: 6, Memory usage: 0.18 GB, CPU: 12
2025-01-08 13:37:39,933 - Starting new run
2025-01-08 13:37:39,933 - Active threads: 4, Memory usage: 0.18 GB, CPU: 12
2025-01-08 13:38:10,096 - Starting new run
2025-01-08 13:38:10,096 - Active threads: 4, Memory usage: 0.18 GB, CPU: 12
2025-01-08 13:39:29,253 - Starting new run
2025-01-08 13:39:29,253 - Active threads: 4, Memory usage: 0.18 GB, CPU: 12
2025-01-08 13:40:29,307 - Active threads: 91, Memory usage: 0.55 GB, CPU: 12
2025-01-08 13:41:29,310 - Active threads: 144, Memory usage: 0.64 GB, CPU: 12
2025-01-08 13:42:29,311 - Active threads: 134, Memory usage: 0.66 GB, CPU: 12
2025-01-08 13:43:29,312 - Active threads: 99, Memory usage: 0.59 GB, CPU: 12
2025-01-08 13:44:29,313 - Active threads: 99, Memory usage: 0.59 GB, CPU: 12
2025-01-08 13:45:29,316 - Active threads: 143, Memory usage: 0.60 GB, CPU: 12
2025-01-08 13:46:29,317 - Active threads: 147, Memory usage: 0.66 GB, CPU: 12
2025-01-08 13:47:29,318 - Active threads: 142, Memory usage: 0.68 GB, CPU: 12
2025-01-08 13:48:29,320 - Active threads: 141, Memory usage: 0.68 GB, CPU: 12
2025-01-08 13:49:29,321 - Active threads: 141, Memory usage: 0.69 GB, CPU: 12
2025-01-08 13:50:29,326 - Active threads: 198, Memory usage: 0.63 GB, CPU: 12
2025-01-08 13:51:29,329 - Active threads: 148, Memory usage: 0.66 GB, CPU: 12
2025-01-08 13:52:29,330 - Active threads: 96, Memory usage: 0.62 GB, CPU: 12
2025-01-08 13:53:29,332 - Active threads: 146, Memory usage: 0.73 GB, CPU: 12
2025-01-08 13:54:29,334 - Active threads: 144, Memory usage: 0.63 GB, CPU: 12
2025-01-08 13:55:29,385 - Active threads: 96, Memory usage: 0.63 GB, CPU: 12
2025-01-08 13:56:29,402 - Active threads: 133, Memory usage: 0.67 GB, CPU: 12
2025-01-08 13:57:29,403 - Active threads: 136, Memory usage: 0.71 GB, CPU: 12
2025-01-08 13:58:29,407 - Active threads: 141, Memory usage: 0.67 GB, CPU: 12
2025-01-08 13:59:29,416 - Active threads: 142, Memory usage: 0.69 GB, CPU: 12
2025-01-08 14:00:29,417 - Active threads: 143, Memory usage: 0.71 GB, CPU: 12
2025-01-08 14:01:29,419 - Active threads: 145, Memory usage: 0.70 GB, CPU: 12
2025-01-08 14:02:29,420 - Active threads: 315, Memory usage: 0.67 GB, CPU: 12
2025-01-08 14:03:29,423 - Active threads: 97, Memory usage: 0.63 GB, CPU: 12
2025-01-08 14:04:29,430 - Active threads: 99, Memory usage: 0.54 GB, CPU: 12
2025-01-08 14:05:29,442 - Active threads: 134, Memory usage: 0.60 GB, CPU: 12
2025-01-08 14:06:29,450 - Active threads: 135, Memory usage: 0.53 GB, CPU: 12
2025-01-08 14:07:29,452 - Active threads: 143, Memory usage: 0.59 GB, CPU: 12
2025-01-08 14:08:29,455 - Active threads: 139, Memory usage: 0.60 GB, CPU: 12
2025-01-08 14:09:29,455 - Active threads: 136, Memory usage: 0.62 GB, CPU: 12
2025-01-08 14:10:29,458 - Active threads: 143, Memory usage: 0.53 GB, CPU: 12
2025-01-08 14:11:29,462 - Active threads: 140, Memory usage: 0.53 GB, CPU: 12
2025-01-08 14:12:29,463 - Active threads: 188, Memory usage: 0.60 GB, CPU: 12
2025-01-08 14:13:29,464 - Active threads: 146, Memory usage: 0.61 GB, CPU: 12
2025-01-08 14:14:29,465 - Active threads: 140, Memory usage: 0.62 GB, CPU: 12
2025-01-08 14:15:29,466 - Active threads: 136, Memory usage: 0.64 GB, CPU: 12
2025-01-08 14:16:29,468 - Active threads: 148, Memory usage: 0.58 GB, CPU: 12
2025-01-08 14:17:29,469 - Active threads: 147, Memory usage: 0.54 GB, CPU: 12
2025-01-08 14:18:29,470 - Active threads: 136, Memory usage: 0.63 GB, CPU: 12
2025-01-08 14:19:29,470 - Active threads: 99, Memory usage: 0.54 GB, CPU: 12
2025-01-08 14:20:29,473 - Active threads: 135, Memory usage: 0.61 GB, CPU: 12
2025-01-08 14:21:29,482 - Active threads: 135, Memory usage: 0.61 GB, CPU: 12
2025-01-08 14:22:29,485 - Active threads: 147, Memory usage: 0.64 GB, CPU: 12
2025-01-08 14:23:29,487 - Active threads: 139, Memory usage: 0.63 GB, CPU: 12
2025-01-08 14:24:29,488 - Active threads: 96, Memory usage: 0.55 GB, CPU: 12
2025-01-08 14:25:29,491 - Active threads: 161, Memory usage: 0.56 GB, CPU: 12
2025-01-08 14:26:29,494 - Active threads: 139, Memory usage: 0.55 GB, CPU: 12
2025-01-08 14:27:29,497 - Active threads: 145, Memory usage: 0.62 GB, CPU: 12
2025-01-08 14:28:29,499 - Active threads: 138, Memory usage: 0.64 GB, CPU: 12
2025-01-08 14:29:29,505 - Active threads: 138, Memory usage: 0.53 GB, CPU: 12
2025-01-08 14:30:29,507 - Active threads: 140, Memory usage: 0.62 GB, CPU: 12
2025-01-08 14:31:29,508 - Active threads: 147, Memory usage: 0.63 GB, CPU: 12
2025-01-08 14:32:29,524 - Active threads: 121, Memory usage: 0.56 GB, CPU: 12
2025-01-08 14:33:29,532 - Active threads: 142, Memory usage: 0.61 GB, CPU: 12
2025-01-08 14:34:29,534 - Active threads: 148, Memory usage: 0.55 GB, CPU: 12
2025-01-08 14:35:29,540 - Active threads: 134, Memory usage: 0.61 GB, CPU: 12
2025-01-08 14:36:29,542 - Active threads: 146, Memory usage: 0.55 GB, CPU: 12
